ContentsCode_kode,år_kode,geografi_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30108,1,2,0,ok-sos001,2012,Nordre Aker,Menn,30-39,Antall mottakere av AAP,89
EliminatedValue,0,30108,1,3,0,ok-sos001,2012,Nordre Aker,Menn,40-49,Antall mottakere av AAP,118
EliminatedValue,0,30108,1,4,0,ok-sos001,2012,Nordre Aker,Menn,50-59,Antall mottakere av AAP,117
EliminatedValue,0,30108,1,5,0,ok-sos001,2012,Nordre Aker,Menn,60+,Antall mottakere av AAP,54
EliminatedValue,0,30108,2,0,0,ok-sos001,2012,Nordre Aker,Kvinner,Alder i alt,Antall mottakere av AAP,647
EliminatedValue,0,30108,2,1,0,ok-sos001,2012,Nordre Aker,Kvinner,Under 30,Antall mottakere av AAP,95
EliminatedValue,0,30108,2,2,0,ok-sos001,2012,Nordre Aker,Kvinner,30-39,Antall mottakere av AAP,162
EliminatedValue,0,30108,2,3,0,ok-sos001,2012,Nordre Aker,Kvinner,40-49,Antall mottakere av AAP,193
EliminatedValue,0,30108,2,4,0,ok-sos001,2012,Nordre Aker,Kvinner,50-59,Antall mottakere av AAP,148
EliminatedValue,0,30108,2,5,0,ok-sos001,2012,Nordre Aker,Kvinner,60+,Antall mottakere av AAP,49
EliminatedValue,0,30109,0,0,0,ok-sos001,2012,Bjerke,Begge kjønn,Alder i alt,Antall mottakere av AAP,1002
EliminatedValue,0,30109,0,1,0,ok-sos001,2012,Bjerke,Begge kjønn,Under 30,Antall mottakere av AAP,107
EliminatedValue,0,30109,0,2,0,ok-sos001,2012,Bjerke,Begge kjønn,30-39,Antall mottakere av AAP,239
EliminatedValue,0,30109,0,3,0,ok-sos001,2012,Bjerke,Begge kjønn,40-49,Antall mottakere av AAP,315
EliminatedValue,0,30109,0,4,0,ok-sos001,2012,Bjerke,Begge kjønn,50-59,Antall mottakere av AAP,258
EliminatedValue,0,30109,0,5,0,ok-sos001,2012,Bjerke,Begge kjønn,60+,Antall mottakere av AAP,83
EliminatedValue,0,30109,1,0,0,ok-sos001,2012,Bjerke,Menn,Alder i alt,Antall mottakere av AAP,446
EliminatedValue,0,30109,1,1,0,ok-sos001,2012,Bjerke,Menn,Under 30,Antall mottakere av AAP,42
EliminatedValue,0,30109,1,2,0,ok-sos001,2012,Bjerke,Menn,30-39,Antall mottakere av AAP,102
EliminatedValue,0,30109,1,3,0,ok-sos001,2012,Bjerke,Menn,40-49,Antall mottakere av AAP,141
EliminatedValue,0,30109,1,4,0,ok-sos001,2012,Bjerke,Menn,50-59,Antall mottakere av AAP,114
EliminatedValue,0,30109,1,5,0,ok-sos001,2012,Bjerke,Menn,60+,Antall mottakere av AAP,47
EliminatedValue,0,30109,2,0,0,ok-sos001,2012,Bjerke,Kvinner,Alder i alt,Antall mottakere av AAP,556
EliminatedValue,0,30109,2,1,0,ok-sos001,2012,Bjerke,Kvinner,Under 30,Antall mottakere av AAP,65
EliminatedValue,0,30109,2,2,0,ok-sos001,2012,Bjerke,Kvinner,30-39,Antall mottakere av AAP,137
EliminatedValue,0,30109,2,3,0,ok-sos001,2012,Bjerke,Kvinner,40-49,Antall mottakere av AAP,174
EliminatedValue,0,30109,2,4,0,ok-sos001,2012,Bjerke,Kvinner,50-59,Antall mottakere av AAP,144
EliminatedValue,0,30109,2,5,0,ok-sos001,2012,Bjerke,Kvinner,60+,Antall mottakere av AAP,36
EliminatedValue,0,30110,0,0,0,ok-sos001,2012,Grorud,Begge kjønn,Alder i alt,Antall mottakere av AAP,992
EliminatedValue,0,30110,0,1,0,ok-sos001,2012,Grorud,Begge kjønn,Under 30,Antall mottakere av AAP,80
EliminatedValue,0,30110,0,2,0,ok-sos001,2012,Grorud,Begge kjønn,30-39,Antall mottakere av AAP,238
EliminatedValue,0,30110,0,3,0,ok-sos001,2012,Grorud,Begge kjønn,40-49,Antall mottakere av AAP,359
EliminatedValue,0,30110,0,4,0,ok-sos001,2012,Grorud,Begge kjønn,50-59,Antall mottakere av AAP,231
EliminatedValue,0,30110,0,5,0,ok-sos001,2012,Grorud,Begge kjønn,60+,Antall mottakere av AAP,84
EliminatedValue,0,30110,1,0,0,ok-sos001,2012,Grorud,Menn,Alder i alt,Antall mottakere av AAP,425
EliminatedValue,0,30110,1,1,0,ok-sos001,2012,Grorud,Menn,Under 30,Antall mottakere av AAP,39
EliminatedValue,0,30110,1,2,0,ok-sos001,2012,Grorud,Menn,30-39,Antall mottakere av AAP,104
EliminatedValue,0,30110,1,3,0,ok-sos001,2012,Grorud,Menn,40-49,Antall mottakere av AAP,151
EliminatedValue,0,30110,1,4,0,ok-sos001,2012,Grorud,Menn,50-59,Antall mottakere av AAP,93
EliminatedValue,0,30110,1,5,0,ok-sos001,2012,Grorud,Menn,60+,Antall mottakere av AAP,38
EliminatedValue,0,30110,2,0,0,ok-sos001,2012,Grorud,Kvinner,Alder i alt,Antall mottakere av AAP,567
EliminatedValue,0,30110,2,1,0,ok-sos001,2012,Grorud,Kvinner,Under 30,Antall mottakere av AAP,41
EliminatedValue,0,30110,2,2,0,ok-sos001,2012,Grorud,Kvinner,30-39,Antall mottakere av AAP,134
EliminatedValue,0,30110,2,3,0,ok-sos001,2012,Grorud,Kvinner,40-49,Antall mottakere av AAP,208
EliminatedValue,0,30110,2,4,0,ok-sos001,2012,Grorud,Kvinner,50-59,Antall mottakere av AAP,138
EliminatedValue,0,30110,2,5,0,ok-sos001,2012,Grorud,Kvinner,60+,Antall mottakere av AAP,46
EliminatedValue,0,30111,0,0,0,ok-sos001,2012,Stovner,Begge kjønn,Alder i alt,Antall mottakere av AAP,1126
EliminatedValue,0,30111,0,1,0,ok-sos001,2012,Stovner,Begge kjønn,Under 30,Antall mottakere av AAP,127
EliminatedValue,0,30111,0,2,0,ok-sos001,2012,Stovner,Begge kjønn,30-39,Antall mottakere av AAP,228
EliminatedValue,0,30111,0,3,0,ok-sos001,2012,Stovner,Begge kjønn,40-49,Antall mottakere av AAP,381
EliminatedValue,0,30111,0,4,0,ok-sos001,2012,Stovner,Begge kjønn,50-59,Antall mottakere av AAP,290
EliminatedValue,0,30111,0,5,0,ok-sos001,2012,Stovner,Begge kjønn,60+,Antall mottakere av AAP,100
EliminatedValue,0,30111,1,0,0,ok-sos001,2012,Stovner,Menn,Alder i alt,Antall mottakere av AAP,522
EliminatedValue,0,30111,1,1,0,ok-sos001,2012,Stovner,Menn,Under 30,Antall mottakere av AAP,65
EliminatedValue,0,30111,1,2,0,ok-sos001,2012,Stovner,Menn,30-39,Antall mottakere av AAP,98
EliminatedValue,0,30111,1,3,0,ok-sos001,2012,Stovner,Menn,40-49,Antall mottakere av AAP,168
EliminatedValue,0,30111,1,4,0,ok-sos001,2012,Stovner,Menn,50-59,Antall mottakere av AAP,141
EliminatedValue,0,30111,1,5,0,ok-sos001,2012,Stovner,Menn,60+,Antall mottakere av AAP,50
EliminatedValue,0,30111,2,0,0,ok-sos001,2012,Stovner,Kvinner,Alder i alt,Antall mottakere av AAP,604
EliminatedValue,0,30111,2,1,0,ok-sos001,2012,Stovner,Kvinner,Under 30,Antall mottakere av AAP,62
EliminatedValue,0,30111,2,2,0,ok-sos001,2012,Stovner,Kvinner,30-39,Antall mottakere av AAP,130
EliminatedValue,0,30111,2,3,0,ok-sos001,2012,Stovner,Kvinner,40-49,Antall mottakere av AAP,213
EliminatedValue,0,30111,2,4,0,ok-sos001,2012,Stovner,Kvinner,50-59,Antall mottakere av AAP,149
EliminatedValue,0,30111,2,5,0,ok-sos001,2012,Stovner,Kvinner,60+,Antall mottakere av AAP,50
EliminatedValue,0,30112,0,0,0,ok-sos001,2012,Alna,Begge kjønn,Alder i alt,Antall mottakere av AAP,2218
EliminatedValue,0,30112,0,1,0,ok-sos001,2012,Alna,Begge kjønn,Under 30,Antall mottakere av AAP,219
EliminatedValue,0,30112,0,2,0,ok-sos001,2012,Alna,Begge kjønn,30-39,Antall mottakere av AAP,503
EliminatedValue,0,30112,0,3,0,ok-sos001,2012,Alna,Begge kjønn,40-49,Antall mottakere av AAP,715
EliminatedValue,0,30112,0,4,0,ok-sos001,2012,Alna,Begge kjønn,50-59,Antall mottakere av AAP,597
EliminatedValue,0,30112,0,5,0,ok-sos001,2012,Alna,Begge kjønn,60+,Antall mottakere av AAP,184
