ContentsCode_kode,år_kode,geografi_kode,alder_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,geografi_navn,alder_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,7,5,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,40-49 år,Andel sosialhjelpsmottakere i befolkningen,2.2
EliminatedValue,0,7,5,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,40-49 år,Antall sosialhjelpsmottakere,92
EliminatedValue,0,7,6,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,50-66 år,Andel sosialhjelpsmottakere i befolkningen,0.9
EliminatedValue,0,7,6,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,50-66 år,Antall sosialhjelpsmottakere,55
EliminatedValue,0,7,7,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,67 år og over,Andel sosialhjelpsmottakere i befolkningen,0.1
EliminatedValue,0,7,7,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Ullern,67 år og over,Antall sosialhjelpsmottakere,6
EliminatedValue,0,8,0,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,I alt,Andel sosialhjelpsmottakere i befolkningen,1.5
EliminatedValue,0,8,0,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,I alt,Antall sosialhjelpsmottakere,483
EliminatedValue,0,8,1,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,Under 20 år,Andel sosialhjelpsmottakere i befolkningen,0.8
EliminatedValue,0,8,1,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,Under 20 år,Antall sosialhjelpsmottakere,9
EliminatedValue,0,8,2,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,20-24 år,Andel sosialhjelpsmottakere i befolkningen,2.5
EliminatedValue,0,8,2,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,20-24 år,Antall sosialhjelpsmottakere,56
EliminatedValue,0,8,3,0,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,25-29 år,Andel sosialhjelpsmottakere i befolkningen,2.4
EliminatedValue,0,8,3,1,Antall og andel sosialhjelpsmottakere i befolkningen (B),2007,Bydel Vestre Aker,25-29 år,Antall sosialhjelpsmottakere,56
