ContentsCode_kode,år_kode,bosted_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30113,1,0,0,ok-sos006,2004,Østensjø,Kvinner,I alt,antall personer,1410
EliminatedValue,0,30113,1,1,0,ok-sos006,2004,Østensjø,Kvinner,18-29,antall personer,16
EliminatedValue,0,30113,1,2,0,ok-sos006,2004,Østensjø,Kvinner,30-39,antall personer,95
EliminatedValue,0,30113,1,3,0,ok-sos006,2004,Østensjø,Kvinner,40-49,antall personer,291
EliminatedValue,0,30113,1,4,0,ok-sos006,2004,Østensjø,Kvinner,50-59,antall personer,478
EliminatedValue,0,30113,1,5,0,ok-sos006,2004,Østensjø,Kvinner,60-67,antall personer,530
EliminatedValue,0,30113,2,0,0,ok-sos006,2004,Østensjø,Menn,I alt,antall personer,868
EliminatedValue,0,30113,2,1,0,ok-sos006,2004,Østensjø,Menn,18-29,antall personer,21
EliminatedValue,0,30113,2,2,0,ok-sos006,2004,Østensjø,Menn,30-39,antall personer,70
EliminatedValue,0,30113,2,3,0,ok-sos006,2004,Østensjø,Menn,40-49,antall personer,198
EliminatedValue,0,30113,2,4,0,ok-sos006,2004,Østensjø,Menn,50-59,antall personer,307
EliminatedValue,0,30113,2,5,0,ok-sos006,2004,Østensjø,Menn,60-67,antall personer,272
EliminatedValue,0,30114,0,0,0,ok-sos006,2004,Nordstrand,I alt,I alt,antall personer,1820
EliminatedValue,0,30114,0,1,0,ok-sos006,2004,Nordstrand,I alt,18-29,antall personer,32
EliminatedValue,0,30114,0,2,0,ok-sos006,2004,Nordstrand,I alt,30-39,antall personer,144
EliminatedValue,0,30114,0,3,0,ok-sos006,2004,Nordstrand,I alt,40-49,antall personer,297
EliminatedValue,0,30114,0,4,0,ok-sos006,2004,Nordstrand,I alt,50-59,antall personer,681
EliminatedValue,0,30114,0,5,0,ok-sos006,2004,Nordstrand,I alt,60-67,antall personer,666
EliminatedValue,0,30114,1,0,0,ok-sos006,2004,Nordstrand,Kvinner,I alt,antall personer,1118
EliminatedValue,0,30114,1,1,0,ok-sos006,2004,Nordstrand,Kvinner,18-29,antall personer,13
EliminatedValue,0,30114,1,2,0,ok-sos006,2004,Nordstrand,Kvinner,30-39,antall personer,79
