Soner2_kode,AntRom_kode,ContentsCode_kode,Tid_kode,Soner2_navn,AntRom_navn,ContentsCode_navn,Tid_navn,verdi
01,4,Husleiear,2013,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2013,1980
01,4,Husleiear,2014,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2014,1930
01,4,Husleiear,2015,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2015,2130
01,4,Husleiear,2016,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2016,2270
01,4,Husleiear,2017,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2017,2400
01,4,Husleiear,2018,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2018,2510
01,4,Husleiear,2019,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2019,2620
01,4,Husleiear,2020,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2020,2670
01,4,Husleiear,2021,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2021,2750
01,4,Husleiear,2022,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2022,2850
01,4,Husleiear,2023,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2023,3030
01,4,Husleiear,2024,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2024,3020
01,4,Husleiear,2025,Oslo og Bærum kommune,4 rom,Gjennomsnittlig årlig leie per kvm,2025,3410
01,5+,Husleie,2012,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2012,15470
01,5+,Husleie,2013,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2013,17350
01,5+,Husleie,2014,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2014,17150
01,5+,Husleie,2015,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2015,16830
01,5+,Husleie,2016,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2016,18260
01,5+,Husleie,2017,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2017,18410
01,5+,Husleie,2018,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2018,20480
01,5+,Husleie,2019,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2019,21430
01,5+,Husleie,2020,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2020,22270
01,5+,Husleie,2021,Oslo og Bærum kommune,5 rom eller flere,Gjennomsnittlig månedlig leie,2021,23010
