ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,1,0,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Berørte barn i alt,Antall,9556
EliminatedValue,1,0,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Barn av par,Antall,5236
EliminatedValue,1,0,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Oslo i alt,Barn av enslig forsørger,Antall,4320
EliminatedValue,1,1,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Sosialhjelpsmottakere i alt,Antall,19952
EliminatedValue,1,1,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Berørte av sosialhjelp,Antall,34486
EliminatedValue,1,1,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Berørte ektefeller/samboere,Antall,4382
EliminatedValue,1,1,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Berørte barn i alt,Antall,10152
EliminatedValue,1,1,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Barn av par,Antall,5599
EliminatedValue,1,1,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Sum bydeler,Barn av enslig forsørger,Antall,4553
EliminatedValue,1,2,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Sosialhjelpsmottakere i alt,Antall,2628
EliminatedValue,1,2,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Berørte av sosialhjelp,Antall,4751
EliminatedValue,1,2,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Berørte ektefeller/samboere,Antall,666
EliminatedValue,1,2,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2006,Bydel Gamle Oslo,Berørte barn i alt,Antall,1457
