Region_kode,ContentsCode_kode,Tid_kode,Region_navn,ContentsCode_navn,Tid_navn,verdi
0301,Fodte2,2008K3,Oslo - Oslove,Fødde,2008K3,2608
0301,Fodte2,2008K4,Oslo - Oslove,Fødde,2008K4,2302
0301,Fodte2,2009K1,Oslo - Oslove,Fødde,2009K1,2479
0301,Fodte2,2009K2,Oslo - Oslove,Fødde,2009K2,2581
0301,Fodte2,2009K3,Oslo - Oslove,Fødde,2009K3,2728
0301,Fodte2,2009K4,Oslo - Oslove,Fødde,2009K4,2473
0301,Fodte2,2010K1,Oslo - Oslove,Fødde,2010K1,2440
0301,Fodte2,2010K2,Oslo - Oslove,Fødde,2010K2,2647
0301,Fodte2,2010K3,Oslo - Oslove,Fødde,2010K3,2708
0301,Fodte2,2010K4,Oslo - Oslove,Fødde,2010K4,2470
0301,Fodte2,2011K1,Oslo - Oslove,Fødde,2011K1,2413
0301,Fodte2,2011K2,Oslo - Oslove,Fødde,2011K2,2700
0301,Fodte2,2011K3,Oslo - Oslove,Fødde,2011K3,2717
0301,Fodte2,2011K4,Oslo - Oslove,Fødde,2011K4,2333
