ContentsCode_kode,År_kode,Geografi_kode,Aldersgrupper_kode,Måltall_kode,ContentsCode_navn,År_navn,Geografi_navn,Aldersgrupper_navn,Måltall_navn,verdi
EliminatedValue,0,7,10,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,23-24 år,Personer,842
EliminatedValue,0,7,11,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,25-29 år,Personer,2329
EliminatedValue,0,7,12,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,30-39 år,Personer,5920
EliminatedValue,0,7,13,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,40-49 år,Personer,6140
EliminatedValue,0,7,14,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,50-66 år,Personer,9528
EliminatedValue,0,7,15,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,67-74 år,Personer,2048
EliminatedValue,0,7,16,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,75-79 år,Personer,1138
EliminatedValue,0,7,17,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,80-84 år,Personer,1034
EliminatedValue,0,7,18,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,85-89 år,Personer,839
EliminatedValue,0,7,19,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Vestre Aker,90 år +,Personer,358
EliminatedValue,0,8,0,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,Alder i alt,Personer,44684
EliminatedValue,0,8,1,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,0 år,Personer,665
EliminatedValue,0,8,2,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,1-2 år,Personer,1324
EliminatedValue,0,8,3,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,3-5 år,Personer,1863
EliminatedValue,0,8,4,0,Folkemengden etter administrativ bydel og alder 2008-2019,2008,Bydel Nordre Aker,6-9 år,Personer,2242
